Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,9,mois,month
9,10,frère,brother
10,11,laisser,let
12,14,aucun,no
13,15,laisse,leash
14,16,eux,them
15,17,ville,city
16,18,chaque,each
17,19,parlé,speak
18,20,arrivé,come
19,21,bébé,baby
20,22,longtemps,long time
21,23,heures,hours
22,24,vont,will
23,25,pendant,while
24,27,aucune,any
25,28,place,square
26,29,compris,understood
27,30,savais,knew
28,31,étaient,were
29,32,attention,Warning
30,34,pourrais,could
31,35,affaire,case
32,36,donner,give
33,37,type,type
34,38,leurs,their
35,39,donné,given
36,40,train,train
37,42,endroit,place
38,43,yeux,eyes
39,44,façon,way
40,45,écoute,listen
41,47,trouve,find
42,48,premier,first
43,49,perdu,lost
44,50,main,hand
45,51,première,first
46,52,côté,side
47,54,vieux,old
48,55,sois,be
49,56,tiens,here
50,57,matin,morning
51,58,tellement,so much
52,59,enfant,child
53,60,point,point
54,61,venu,came
55,62,suite,after
56,63,pardon,sorry
57,64,venez,come
58,65,devant,in front of
59,66,vers,towards
60,67,minutes,minutes
61,68,demandé,request
62,69,chambre,bedroom
63,70,mis,placed
64,71,belle,beautiful
65,72,droit,law
66,73,aimerais,would like to
67,74,aujourd'hui,today
68,76,cause,cause
69,77,enfin,finally
70,78,espère,hope
71,79,eau,water
72,80,attendez,Wait
73,81,parti,left
74,82,nouvelle,new
75,83,boulot,job
76,85,dirait,would say
77,86,terre,Earth
78,87,compte,account
79,88,donne,given
80,89,loin,far
81,90,fin,end
82,92,chérie,sweetheart
83,93,gros,large
84,94,plutôt,rather
85,95,aura,will have
86,96,filles,girls
87,97,jouer,to play
88,98,bureau,office
